# From Lens, D.D et al. (1998), Apj, 119, 121.
# Table 2: Synthesized u'g'r'i'z' colors for the Gunn-Stryker Stellar Atlas
# Star  	 Type 	  u'-g'     g'-r'     r'-i'     i'-z'
Hyad 189      	  None	 2.7606    1.1980    0.5304    0.2670
HD 151288     	  K7V	 2.7246    1.2219    0.5650    0.2531
HD 157881     	  K7V	 2.7529    1.2146    0.5816    0.2864
HD 132683     	  M0V	 2.7564    1.2529    0.6159    0.2540
GL 15A       	  M0V	 2.7902    1.4056    0.9429    0.4277
GL 49        	  M2V	 2.7670    1.3563    0.9599    0.4434
GL 109       	  M4V	 2.8687    1.3709    1.2489    0.5682
GL 15B       	  M6V	 3.1937    1.5201    1.5139    0.6697
GL 83.1       	  M8V	 3.1577    1.5271    1.7723    0.8039
GL 65        	  M5V	 2.9529    1.5728    2.2560    1.0712
HR 7567      	  B1IV   -0.1459   -0.5016   -0.3974   -0.2952
HR 7591      	  B2III  -0.1307   -0.4757   -0.3640   -0.2731
20 Aql       	  B3IV   0.2144    -0.4008   -0.3076   -0.2245
HR 7467      	  B3III  0.1761    -0.4177   -0.3396   -0.2365
iota Lyr          B7IV   0.3502    -0.3619   -0.3079	-0.1603
HR 7346      	  B7III  0.4977    -0.3511   -0.2708	-0.1957
59 Her        	  A3III  1.0347    -0.2961   -0.2450	-0.1252
HR 6642       	  A0IV	  0.8936    -0.2989   -0.2556 	-0.1600
11 Sge        	  B9IV	  0.8609    -0.2653   -0.2690	-0.1160
60 Her        	  A3IV	  1.1148    -0.1660   -0.1719	-0.1077
HD 192285     	  A4IV	  1.1348    -0.1279   -0.1449	-0.0822
a Oph        	  A5III   1.1474    -0.0796   -0.1440	-0.0797
HD 165475B    	  A5IV	  1.2581    -0.0135   -0.1217	-0.0705
m Ser         	  F0IV	  1.2022    0.0061    -0.0631	-0.0569
HD 5132      	  F0IV	  1.1289    0.0881    -0.0753	-0.0548
HD 508       	  A9IV	  1.2355    0.0960    -0.0488	-0.0300
HD 210875     	  F0IV	  1.2694    0.0756    -0.0432	-0.0425
o Cap        	  F2IV	  1.1052    0.1341    0.0011	-0.0187
HD 7331      	  F7IV	  1.1260    0.2172    0.0163	-0.0248
BD 630013    	  F5IV	  1.1007    0.2289    0.0204	-0.0127
HD 13391      	  G2IV	  1.2200    0.3839    0.0734	-0.0039
HD 154962     	  G8IV	  1.4744    0.4287    0.1354	0.0401
HD 192344     	  G4IV	  1.4779    0.4165    0.1351	0.0462
HR 6516       	  G6IV	  1.4871    0.4271    0.1081	0.0155
HR 7670       	  G6IV	  1.6009    0.4546    0.1095	0.0176
HD 128428     	  G3IV	  1.6414    0.4989    0.1533	0.0393
31 Aql        	  G8IV	  1.6267    0.5282    0.1433	0.0001
02 4018      	  G5IV	  1.7526    0.6150    0.1859	0.0735
M67 F143 ?        None	  1.7977    0.6108    0.2002	0.0657
HD 11004      	  G5IV	  1.6891    0.6785    0.2440	0.1455
HD 173399A    	  G5IV	  1.8016    0.5780    0.2349	0.1113
HD 56176      	  G7IV	  1.8309    0.6400    0.2365	0.1399
HD 227693     	  G5IV	  1.9539    0.6396    0.2201	0.1274
Praesepe 212      None	  2.0653    0.6782    0.1995	0.1359
h1 Tau        	  G8III   2.1162    0.6701    0.2299	0.1202
HD 170527     	  G5IV	  2.0322    0.6821    0.2604	0.1180
HD 136366     	  K0III   2.1908    0.6934    0.2115	0.1852
HD 191615     	  G8IV	  2.1373    0.7436    0.2656	0.1572
HD 124679     	  K0III   2.1523    0.6971    0.2516	0.1080
HD 131111     	  K0III   2.2028    0.7236    0.3084	0.1465
HD 113493     	  K0III   2.3106    0.7425    0.2537	0.0915
HD 4744      	  G8IV	  2.1322    0.8062    0.3064	0.1651
HD 7010      	  K0IV	  2.1672    0.7995    0.2808	0.1523
46 LMi       	  K0III   2.3185    0.7760    0.2779	0.1558
91 Aqr        	  K0III   2.4179    0.7835    0.2734	0.1226
M67 F141      	  None	  2.4411    0.7780    0.2553	0.1261
HR 8924A      	  K3III   2.5586    0.7847    0.2193	0.1510
HD 140301     	  K0IV	  2.4713    0.7687    0.2917	0.1561
HD 95272      	  K0III   2.4261    0.7988    0.2966	0.1747
HD 72184      	  K2III   2.5670    0.8043    0.2606	0.1681
HD 119425    	  K2III   2.4812    0.7942    0.2733	0.1435
HD 106760     	  K1III   2.5223    0.8352    0.3035	0.1528
t UMa       	  K1III   2.5817    0.8421    0.2994	0.1769
/ Ser         	  K1III   2.6338    0.8084    0.2040	0.1904
HD 136514     	  K3III   2.7931    0.8609    0.2528	0.2141
k Aql         	  K3III   2.7177    0.8876    0.2815	0.1631
HR 5227       	  K2IIIP  2.7224    0.8986    0.3519	0.1214
HD 154759     	  K3III   2.7784    0.9671    0.3012	0.1828
20 Cyg        	  K3III   3.0990    0.9164    0.2583	0.2162
a Ser         	  K2III   2.7153    0.8428    0.3036	0.1735
k Leo        	  K2III   2.9109    0.9317    0.3039	0.1915
M67 F170      	  None	  3.0702    1.0125    0.3691	0.2010
18 Lib A          K2IIIP  2.9833    0.9190    0.3478	0.2205
28 2165      	  K1IV	  3.0511    1.0383    0.4008	0.2023
NGC 188 1-69   	  None	  2.9708    0.9992    0.3618	0.2647
30 2344      	  K3III   3.1050    1.0559    0.4158	0.2104
HD 83618      	  K3III   2.9778    1.0276    0.3966	0.2387
HD 158885     	  K3III   2.9427    1.0103    0.4325	0.2494
HD 148513     	  K4III   3.4217    1.1062    0.3697	0.3125
M67 T626      	  None	  3.3319    1.1640    0.4487	0.2619
M67 IV202    	  None	  3.5853    1.2389    0.5644	0.2866
HD 50778      	  K4III   3.3603    1.1000    0.5092	0.3341
HD 62721      	  K5III   3.3588    1.1731    0.5445	0.3211
HD 116870     	  M0III   3.4138    1.1913    0.5982	0.3455
HD 60522      	  M0III   3.5737    1.2502    0.6240	0.3713
2 2884       	  K5III   3.5501    1.2207    0.6964	0.3556
2 3873       	  M0III   3.6958    1.3473    0.9798	0.4808
HD 104216     	  M2III   3.5277    1.2846    1.0005	0.4866
HD 142804     	  M1III   3.9552    1.4460    0.8862	0.6270
HD 30959          M3III   3.8238    1.4933    1.2612	0.6047
HD 151658     	  M2III   3.9797    1.6081    1.2657  	0.6798
2 4025     	  M2III   3.6524    1.4707    1.4525	0.6833
01 3097    	  M2III   3.6774    1.4914    1.5627	0.7506
TX Dra     	  None	  3.4668    1.3912    1.6528	0.7739
Z Cyg      	  M8III   3.4818    1.4567    1.6882	0.7932
01 3133    	  M5III   3.2648    1.4693    1.8615	0.9387
2 3886     	  M5III   3.1680    1.5534    2.0137	0.9746
W Her      	  M6III   2.0864    1.5538    2.6493	1.2675
TY Dra     	  M8	  2.7613    1.8513    2.3176	1.3506
SW Vir     	  M7III   2.4980    2.1526    2.6300	1.4449
RZ Her     	  M6III   1.3762    2.1467    2.8639	1.7287
R Leo      	  None	  1.7471    2.8456    3.1827	2.1050
AW Cyg     	  None	  5.4359    2.9537    1.0151	0.6610
WZ Cas     	  None	  5.6902    2.2396    0.9873	0.8065
69 Cyg      	  B0IB	  -0.3239   -0.4611   -0.4118  -0.2051
HR 7699     	  B5IB	  0.1527    -0.4138   -0.3565  -0.2217
HR 8020      	  B8IA    0.2536    -0.1537   -0.1980  -0.1098
